Total Time (s),Cycle Elapsed Time (s),Total Cycles,Elapsed Cycles,Step,Total Cycle Count(8800MTB25266 Linear Waveform),Position (mm),Force (kN),Strain 1 (%),Stress
0.294,0.294,1,1,1,0,28.62356929,1.685350947,0.043938737,85.83422037
0.295,0.295,1,1,1,0,28.62399276,1.70136774,0.044292565,86.64994893
0.296,0.296,1,1,1,0,28.6242662,1.717187371,0.04581999,87.45563616
0.297,0.297,1,1,1,0,28.62450983,1.734204497,0.047255699,88.32231129
0.298,0.298,1,1,1,0,28.62479798,1.751906425,0.047745015,89.22386307
0.299,0.299,1,1,1,0,28.62516791,1.769065205,0.047632139,90.09775259
0.3,0.3,1,1,1,0,28.6253415,1.786160748,0.047629122,90.96842148
0.301,0.301,1,1,1,0,28.62556837,1.803542767,0.047735963,91.85368042
0.302,0.302,1,1,1,0,28.62603124,1.820675842,0.047631841,92.72626081
0.303,0.303,1,1,1,0,28.62655213,1.837092917,0.047693327,93.56237559
0.304,0.304,1,1,1,0,28.62670114,1.853037067,0.04904354,94.37440446
0.305,0.305,1,1,1,0,28.62664387,1.869550254,0.0508417,95.2154142
0.306,0.306,1,1,1,0,28.62689719,1.886646356,0.05193064,96.08611156
0.307,0.307,1,1,1,0,28.62741956,1.903825905,0.052110385,96.9610588
0.308,0.308,1,1,1,0,28.62799233,1.92114953,0.05170377,97.84334376
0.309,0.309,1,1,1,0,28.62839298,1.938253082,0.051244367,98.71442057
0.31,0.31,1,1,1,0,28.62852737,1.954397373,0.051013902,99.53664255
0.311,0.311,1,1,1,0,28.62857059,1.970304269,0.051160399,100.3467741
0.312,0.312,1,1,1,0,28.62866614,1.987409312,0.052604116,101.2179268
0.313,0.313,1,1,1,0,28.62891201,2.005623281,0.05464267,102.1455567
0.314,0.314,1,1,1,0,28.62950042,2.023002692,0.055757537,103.0306828
0.315,0.315,1,1,1,0,28.63016445,2.039526589,0.055651311,103.872238
0.316,0.316,1,1,1,0,28.63076879,2.056805789,0.05515771,104.7522605
0.317,0.317,1,1,1,0,28.6307794,2.07478907,0.054780878,105.6681414
0.318,0.318,1,1,1,0,28.63063803,2.092170157,0.054672156,106.5533529
0.319,0.319,1,1,1,0,28.63072744,2.108739596,0.055044461,107.3972276
0.32,0.32,1,1,1,0,28.63112288,2.124994621,0.056477301,108.2250892
0.321,0.321,1,1,1,0,28.63176763,2.141173184,0.058393851,109.0490567
0.322,0.322,1,1,1,0,28.63234691,2.158301417,0.059263967,109.9213904
0.323,0.323,1,1,1,0,28.63243232,2.176210843,0.059077125,110.83351
0.324,0.324,1,1,1,0,28.63225713,2.193332557,0.05883066,111.7055117
0.325,0.325,1,1,1,0,28.63254352,2.209583111,0.05907068,112.5331457
